Received_Time_ms;Send_Time_ms;Delay_ms;Furnace_ID;Seq_Num;Payload_Bytes
1761895604496;1761920816000;-25211504;furnace2;873;50
1761895604624;1761920816000;-25211376;furnace2;874;54
1761895606015;1761920818000;-25211985;furnace2;878;50
1761895606420;1761920818000;-25211580;furnace2;879;54
1761895607540;1761920819000;-25211460;furnace2;883;50
1761895607661;1761920819000;-25211339;furnace2;884;54
1761895609051;1761920821000;-25211949;furnace2;888;50
1761895609179;1761920821000;-25211821;furnace2;889;54
1761895610555;1761920822000;-25211445;furnace2;893;50
1761895610683;1761920822000;-25211317;furnace2;894;54
1761895612073;1761920824000;-25211927;furnace2;898;50
1761895612202;1761920824000;-25211798;furnace2;899;54
1761895613596;1761920825000;-25211404;furnace2;903;50
1761895613721;1761920825000;-25211279;furnace2;904;54
1761895615102;1761920827000;-25211898;furnace2;908;50
1761895615228;1761920827000;-25211772;furnace2;909;54
1761895618462;1761920828000;-25209538;furnace2;914;54
1761895618464;1761920830000;-25211536;furnace2;919;54
1761895618465;1761920830000;-25211535;furnace2;918;50
1761895618464;1761920828000;-25209536;furnace2;913;50
1761895619684;1761920831000;-25211316;furnace2;923;50
1761895619775;1761920831000;-25211225;furnace2;924;54
1761895621166;1761920833000;-25211834;furnace2;928;50
1761895621295;1761920833000;-25211705;furnace2;929;54
1761895622674;1761920834000;-25211326;furnace2;933;50
1761895622799;1761920834000;-25211201;furnace2;934;54
1761895624194;1761920836000;-25211806;furnace2;938;50
1761895624343;1761920836000;-25211657;furnace2;939;54
1761895625739;1761920837000;-25211261;furnace2;943;50
1761895627364;1761920837000;-25209636;furnace2;944;54
1761895633908;1761920846000;-25212092;furnace2;948;50
1761895634041;1761920846000;-25211959;furnace2;949;54
1761895635432;1761920847000;-25211568;furnace2;953;50
1761895635558;1761920847000;-25211442;furnace2;954;54
1761895636923;1761920849000;-25212077;furnace2;958;52
1761895637057;1761920849000;-25211943;furnace2;959;56
1761895638439;1761920850000;-25211561;furnace2;963;52
1761895638566;1761920850000;-25211434;furnace2;964;56
1761895639959;1761920852000;-25212041;furnace2;968;50
1761895640057;1761920852000;-25211943;furnace2;969;54
1761895641483;1761920853000;-25211517;furnace2;973;50
1761895641610;1761920853000;-25211390;furnace2;974;54
1761895643031;1761920855000;-25211969;furnace2;978;50
1761895643113;1761920855000;-25211887;furnace2;979;54
1761895644527;1761920856000;-25211473;furnace2;983;50
1761895644641;1761920856000;-25211359;furnace2;984;54
1761895646029;1761920858000;-25211971;furnace2;988;50
1761895646157;1761920858000;-25211843;furnace2;989;54
1761895647550;1761920859000;-25211450;furnace2;993;50
1761895647675;1761920859000;-25211325;furnace2;994;54
1761895649054;1761920861000;-25211946;furnace2;998;50
1761895649310;1761920861000;-25211690;furnace2;999;54
1761895650567;1761920862000;-25211433;furnace2;1003;51
1761895650694;1761920862000;-25211306;furnace2;1004;55
1761895652087;1761920864000;-25211913;furnace2;1008;51
1761895652213;1761920864000;-25211787;furnace2;1009;55
1761895653594;1761920865000;-25211406;furnace2;1013;51
1761895653723;1761920865000;-25211277;furnace2;1014;55
1761895656960;1761920868000;-25211040;furnace2;1023;51
1761895656961;1761920868000;-25211039;furnace2;1024;55
1761895656959;1761920867000;-25210041;furnace2;1018;51
1761895656961;1761920867000;-25210039;furnace2;1019;55
1761895658124;1761920870000;-25211876;furnace2;1028;51
1761895658252;1761920870000;-25211748;furnace2;1029;55
1761895659631;1761920871000;-25211369;furnace2;1033;51
1761895659762;1761920871000;-25211238;furnace2;1034;55
1761895661146;1761920873000;-25211854;furnace2;1038;51
1761895661270;1761920873000;-25211730;furnace2;1039;55
1761895662653;1761920874000;-25211347;furnace2;1043;51
1761895662782;1761920874000;-25211218;furnace2;1044;55
1761895664167;1761920876000;-25211833;furnace2;1048;51
1761895664295;1761920876000;-25211705;furnace2;1049;55
1761895665670;1761920877000;-25211330;furnace2;1053;51
1761895665804;1761920877000;-25211196;furnace2;1054;55
1761895667180;1761920879000;-25211820;furnace2;1058;51
1761895667310;1761920879000;-25211690;furnace2;1059;55
1761895669366;1761920880000;-25210634;furnace2;1063;51
1761895669366;1761920880000;-25210634;furnace2;1064;55
1761895670200;1761920882000;-25211800;furnace2;1068;51
1761895671911;1761920882000;-25210089;furnace2;1069;55
1761895671912;1761920883000;-25211088;furnace2;1073;51
1761895671914;1761920883000;-25211086;furnace2;1074;55
1761895673220;1761920885000;-25211780;furnace2;1078;51
1761895673350;1761920885000;-25211650;furnace2;1079;55
1761895674735;1761920886000;-25211265;furnace2;1083;51
1761895674859;1761920886000;-25211141;furnace2;1084;55
1761895676246;1761920888000;-25211754;furnace2;1088;51
1761895676367;1761920888000;-25211633;furnace2;1089;55
1761895679490;1761920891000;-25211510;furnace2;1098;51
1761895679489;1761920889000;-25209511;furnace2;1093;51
1761895679491;1761920889000;-25209509;furnace2;1094;55
1761895679495;1761920891000;-25211505;furnace2;1099;55
1761895680835;1761920892000;-25211165;furnace2;1103;51
1761895680891;1761920892000;-25211109;furnace2;1104;55
1761895682392;1761920894000;-25211608;furnace2;1108;51
1761895682413;1761920894000;-25211587;furnace2;1109;55
1761895685530;1761920895000;-25209470;furnace2;1114;55
1761895685530;1761920895000;-25209470;furnace2;1113;51
1761895688410;1761920898000;-25209590;furnace2;1123;51
1761895688410;1761920897000;-25208590;furnace2;1119;55
1761895688408;1761920897000;-25208592;furnace2;1118;51
1761895688820;1761920898000;-25209180;furnace2;1124;55
1761895688824;1761920900000;-25211176;furnace2;1128;51
1761895688824;1761920900000;-25211176;furnace2;1129;55
1761895690554;1761920901000;-25210446;furnace2;1133;51
1761895690554;1761920901000;-25210446;furnace2;1134;55
1761895691446;1761920903000;-25211554;furnace2;1138;51
1761895691550;1761920903000;-25211450;furnace2;1139;55
1761895693272;1761920904000;-25210728;furnace2;1143;51
1761895693272;1761920904000;-25210728;furnace2;1144;55
1761895694864;1761920907000;-25212136;furnace2;1148;51
1761895694865;1761920907000;-25212135;furnace2;1149;55
1761895696706;1761920908000;-25211294;furnace2;1153;51
1761895696706;1761920908000;-25211294;furnace2;1154;55
1761895697757;1761920910000;-25212243;furnace2;1158;51
1761895697758;1761920910000;-25212242;furnace2;1159;55
1761895698971;1761920911000;-25212029;furnace2;1163;51
1761895699073;1761920911000;-25211927;furnace2;1164;55
1761895701919;1761920913000;-25211081;furnace2;1169;55
1761895701917;1761920913000;-25211083;furnace2;1168;51
1761895701954;1761920914000;-25212046;furnace2;1173;51
1761895702088;1761920914000;-25211912;furnace2;1174;55
1761895703832;1761920916000;-25212168;furnace2;1178;51
1761895703832;1761920916000;-25212168;furnace2;1179;55
1761895704940;1761920917000;-25212060;furnace2;1183;51
1761895705068;1761920917000;-25211932;furnace2;1184;55
1761895706450;1761920919000;-25212550;furnace2;1188;51
1761895706579;1761920919000;-25212421;furnace2;1189;55
1761895708297;1761920920000;-25211703;furnace2;1193;51
1761895708984;1761920920000;-25211016;furnace2;1194;55
1761895709739;1761920922000;-25212261;furnace2;1198;51
1761895709796;1761920922000;-25212204;furnace2;1199;55
1761895711064;1761920923000;-25211936;furnace2;1203;51
1761895711102;1761920923000;-25211898;furnace2;1204;55
1761895712542;1761920925000;-25212458;furnace2;1208;51
1761895712608;1761920925000;-25212392;furnace2;1209;55
1761895713999;1761920926000;-25212001;furnace2;1213;51
1761895714124;1761920926000;-25211876;furnace2;1214;55
1761895715514;1761920928000;-25212486;furnace2;1218;51
1761895715643;1761920928000;-25212357;furnace2;1219;55
1761895717037;1761920929000;-25211963;furnace2;1223;51
1761895717154;1761920929000;-25211846;furnace2;1224;55
1761895718588;1761920931000;-25212412;furnace2;1228;51
1761895718761;1761920931000;-25212239;furnace2;1229;55
1761895720041;1761920932000;-25211959;furnace2;1233;51
1761895720169;1761920932000;-25211831;furnace2;1234;55
1761895721550;1761920934000;-25212450;furnace2;1238;51
1761895721679;1761920934000;-25212321;furnace2;1239;55
1761895723122;1761920936000;-25212878;furnace2;1243;51
1761895723267;1761920936000;-25212733;furnace2;1244;55
1761895724567;1761920937000;-25212433;furnace2;1248;51
1761895724700;1761920937000;-25212300;furnace2;1249;55
1761895726077;1761920939000;-25212923;furnace2;1253;51
1761895726323;1761920939000;-25212677;furnace2;1254;55
1761895727585;1761920940000;-25212415;furnace2;1258;51
1761895727715;1761920940000;-25212285;furnace2;1259;55
1761895729098;1761920942000;-25212902;furnace2;1263;51
1761895729224;1761920942000;-25212776;furnace2;1264;55
1761895730608;1761920943000;-25212392;furnace2;1268;51
1761895730737;1761920943000;-25212263;furnace2;1269;55
1761895733760;1761920945000;-25211240;furnace2;1274;55
1761895733759;1761920945000;-25211241;furnace2;1273;51
1761895735301;1761920946000;-25210699;furnace2;1278;51
1761895735301;1761920948000;-25212699;furnace2;1284;55
1761895735301;1761920946000;-25210699;furnace2;1279;55
1761895735302;1761920948000;-25212698;furnace2;1283;51
1761895736641;1761920949000;-25212359;furnace2;1288;51
1761895736770;1761920949000;-25212230;furnace2;1289;55
1761895738168;1761920951000;-25212832;furnace2;1293;51
1761895738299;1761920951000;-25212701;furnace2;1294;55
1761895739658;1761920952000;-25212342;furnace2;1298;51
1761895739780;1761920952000;-25212220;furnace2;1299;55
1761895742950;1761920955000;-25212050;furnace2;1309;55
1761895742951;1761920954000;-25211049;furnace2;1303;51
1761895742951;1761920955000;-25212049;furnace2;1308;51
